Subfamily,Species,Male,Female,Ratio
out group,Synotaxus_sp_gb,4.90,6.30,1.29
out group,Nesticus_sp_gb,3.10,3.00,0.97
Pholcommatinae,Enoplognatha_caricis_gb,4.30,5.65,1.31
Pholcommatinae,Enoplognatha_margarita_gb,4.75,6.05,1.27
Pholcommatinae,Pholcomma_hirsutum_gb,1.50,1.45,0.97
Pholcommatinae,Robertus_neglectus_gb,1.90,2.25,1.18
Hadrotarsinae,Dipoena_cf_hortoni_gb,1.50,1.50,1.00
Hadrotarsinae,Euryopis_funebris_gb,2.65,3.85,1.45
Hadrotarsinae,Lasaeola_tristis_JIE24D,2.40,3.25,1.35
Hadrotarsinae,Phycosoma_mustelinum_2004_gb,3.00,3.25,1.08
Spintharinae,Episinus_affinis_gb,3.50,5.00,1.43
Spintharinae,Episinus_angulatus_gb,3.50,4.45,1.27
Spintharinae,Spintharus_flavidus_gb,3.05,4.20,1.38
Spintharinae,Stemmops_nipponicus_gb,2.30,2.75,1.20
Spintharinae,Thwaitesia_sp_gb,3.00,4.40,1.47
Argyrodinae,Argyrodes_argentatus_gb,3.00,5.30,1.77
Argyrodinae,Argyrodes_trigonum_gb,3.40,3.60,1.06
Argyrodinae,Ariamnes_cylindrogaster_gb,19.15,24.65,1.29
Argyrodinae,Rhomphaea_metalissima_gb,4.50,4.30,0.96
Anelosiminae,Anelosimus_eximius_gb,3.50,4.90,1.40
Anelosiminae,Anelosimus_rupununi_gb,1.80,2.25,1.25
Anelosiminae,Anelosimus_studiosus_gb,2.70,4.05,1.50
Anelosiminae,Kochiura_aulicus_gb,3.15,3.55,1.13
Theridiinae,Ameridion_petrum_gb,1.30,1.20,0.92
Theridiinae,Canalidion_montanum_JIE20D,3.00,3.55,1.18
Theridiinae,Chikunia_albipes_2004_gb,2.00,3.25,1.63
Theridiinae,Cryptachaea_riparia_JIE22D,2.80,3.35,1.20
Theridiinae,Echinotheridion_otlum_gb,1.40,2.60,1.86
